0	f	43,09	5	2	true	0,031
1	m	18,36	2	1	true	0,003
2	d	18,87	5	0	false	0,002
3	d	15,56	2	2	true	0,009
4	m	46,05	5	4	true	0,023
5	m	32,61	6	4	true	0,036
6	d	28,95	3	3	true	0,02
7	m	20,7	4	4	true	0,022
8	m	67,33	6	4	true	0,024
9	d	28,87	5	5	true	0,028
10	m	42,33	6	3	true	0,026
11	m	16,43	6	3	true	0,055
12	m	37,27	4	2	true	0,02
13	m	9,18	6	2	true	0,023
14	d	13,72	6	6	true	0,05
15	d	44,78	6	6	true	0,037
16	m	22,27	6	3	true	0,028
17	m	42,33	3	2	true	0,016
18	d	13,1	5	5	true	0,035
19	f	44,73	6	2	true	0,026
20	f	78,69	6	2	true	0,021
21	f	84,22	5	2	true	0,026
22	m	48,98	5	4	true	0,045
23	f	58,2	5	2	true	0,023
24	d	13,05	3	0	false	0,002
25	m	20,31	5	3	true	0,027
26	m	18,15	5	4	true	0,126
27	m	35,03	6	5	true	0,065
28	f	85,64	3	1	true	0,012
29	f	55,05	5	2	true	0,03
30	m	62,15	5	5	true	0,042
31	m	37,04	5	3	true	0,042
32	d	11,43	5	0	false	0,003
33	m	67,24	3	3	true	0,022
34	m	32,88	4	3	true	0,049
35	m	23,63	6	4	true	0,035
36	m	50,99	4	3	true	0,028
37	m	8,59	5	2	true	0,019
38	m	8,07	4	2	true	0,036
39	f	49,05	6	2	true	0,029
40	f	14,53	6	2	true	0,027
41	d	48,61	5	5	true	0,043
42	m	20,86	6	4	true	0,135
43	m	24,61	4	1	true	0,005
44	m	61,25	5	5	true	0,031
45	m	38,65	5	3	true	0,024
46	d	11,06	6	4	true	0,209
47	m	17,42	5	2	true	0,022
48	d	18,61	5	5	true	0,032
49	f	34,84	5	2	true	0,026
50	m	44,3	3	2	true	0,016
51	m	35,74	6	3	true	0,024
52	d	63,95	6	6	true	0,034
53	d	11,68	5	5	true	0,026
54	m	37,74	2	2	true	0,003
55	m	55,2	6	5	true	0,035
56	f	60,46	6	2	true	0,02
57	d	19,75	4	4	true	0,263
58	d	18,82	6	0	false	0,002
59	f	53,43	4	2	true	0,014
60	d	7,81	6	3	true	0,066
61	f	43,63	6	3	true	0,026
62	d	48,14	5	5	true	0,028
63	f	48,24	6	1	true	0,017
64	f	35,84	6	1	true	0,029
65	m	11,2	6	3	true	0,025
66	m	36,23	6	3	true	0,024
67	m	47,82	3	3	true	0,015
68	m	38,01	5	3	true	0,022
69	m	28,67	5	4	true	0,02
70	f	80,16	6	2	true	0,018
71	f	12,68	6	2	true	0,025
72	m	54,55	2	2	true	0,003
73	m	4,32	6	3	true	0,022
74	m	36,9	5	4	true	0,025
75	m	12,43	3	2	true	0,022
76	f	75,98	6	2	true	0,019
77	m	32,49	4	3	true	0,045
78	f	39,77	5	2	true	0,018
79	d	16,5	6	6	true	0,125
80	d	11,71	5	5	true	0,033
81	f	73,34	4	1	true	0,003
82	m	30,27	6	2	true	0,02
83	m	43,58	4	3	true	0,021
84	f	80,42	3	1	true	0,011
85	d	15,09	6	4	true	0,024
86	d	38,56	5	5	true	0,03
87	m	32,27	6	4	true	0,026
88	f	23,34	6	2	true	0,02
89	f	72,83	6	2	true	0,035
90	m	51,99	5	2	true	0,034
91	m	41,46	6	5	true	0,065
92	f	73,44	3	1	true	0,028
93	f	65,43	6	1	true	0,045
94	m	29,27	6	4	true	0,035
95	f	24,91	4	2	true	0,031
96	d	4,5	5	0	false	0,003
97	f	43,36	2	1	true	0,01
98	m	66,86	4	4	true	0,022
99	d	48,12	4	4	true	0,022
